2,14,"[91.0, 25.0, 0.9949127025656656, 0.1]",,,
2,0,"[24.0, 2.0, 0.9997412800000002, 0.1]",,,
2,11,"[81.0, 37.0, 0.9996851200000005, 0.1]",,,
2,6,"[99.0, 73.0, 0.9996857600000005, 0.1]",,,
2,7,"[77.0, 94.0, 0.9997076800000004, 0.1]",,,
2,7,"[73.0, 93.0, 0.9997090000000004, 0.1]",,,
2,2,"[11.0, 78.0, 0.9997232000000004, 0.1]",,,
2,13,"[83.0, 65.0, 0.9996692000000006, 0.1]",,,
2,6,"[88.0, 96.0, 0.9997107200000004, 0.1]",,,
2,2,"[21.0, 96.0, 0.9997376800000003, 0.1]",,,
2,12,"[63.0, 63.0, 0.9996566000000007, 0.1]",,,
2,2,"[25.0, 78.0, 0.9997132000000004, 0.1]",,,
2,11,"[77.0, 47.0, 0.9996696000000006, 0.1]",,,
2,1,"[44.0, 26.0, 0.9996996000000004, 0.1]",,,
2,13,"[91.0, 65.0, 0.9996792000000005, 0.1]",,,
2,8,"[60.0, 15.0, 0.9996958400000004, 0.1]",,,
2,9,"[99.0, 22.0, 0.9997082000000004, 0.1]",,,
2,6,"[97.0, 88.0, 0.9997082000000004, 0.1]",,,
2,8,"[69.0, 5.0, 0.9997042000000004, 0.1]",,,
2,8,"[76.0, 15.0, 0.9997084000000004, 0.1]",,,
2,9,"[85.0, 17.0, 0.9997072800000004, 0.1]",,,
2,1,"[47.0, 40.0, 0.9996370000000007, 0.1]",,,
2,1,"[30.0, 25.0, 0.9997167600000003, 0.1]",,,
2,0,"[12.0, 24.0, 0.9997645600000001, 0.1]",,,
2,1,"[20.0, 51.0, 0.9997044400000004, 0.1]",,,
2,6,"[93.0, 88.0, 0.9997085200000004, 0.1]",,,
2,12,"[73.0, 68.0, 0.9996568000000007, 0.1]",,,
2,13,"[81.0, 66.0, 0.9996682000000006, 0.1]",,,
2,1,"[37.0, 50.0, 0.9996578000000006, 0.1]",,,
2,12,"[53.0, 73.0, 0.9996742000000005, 0.1]",,,
2,0,"[26.0, 13.0, 0.9997339600000003, 0.1]",,,
2,13,"[78.0, 67.0, 0.9996561200000006, 0.1]",,,
2,7,"[64.0, 99.0, 0.9997084000000004, 0.1]",,,
2,8,"[68.0, 8.0, 0.9996966000000005, 0.1]",,,
2,1,"[45.0, 49.0, 0.9996320000000006, 0.1]",,,
2,1,"[50.0, 43.0, 0.9996307600000007, 0.1]",,,
2,6,"[91.0, 83.0, 0.9996996000000005, 0.1]",,,
2,0,"[29.0, 2.0, 0.9997330800000002, 0.1]",,,
2,11,"[65.0, 44.0, 0.9996603600000006, 0.1]",,,
2,8,"[70.0, 29.0, 0.9996942400000004, 0.1]",,,
2,8,"[48.0, 14.0, 0.9996902800000004, 0.1]",,,
2,4,"[91.0, 2.0, 0.9997282000000003, 0.1]",,,
2,1,"[14.0, 34.0, 0.9997397600000002, 0.1]",,,
2,4,"[83.0, 2.0, 0.9997175600000003, 0.1]",,,
2,12,"[49.0, 70.0, 0.9996696000000005, 0.1]",,,
2,9,"[98.0, 20.0, 0.9997089600000004, 0.1]",,,
2,8,"[44.0, 4.0, 0.9996962000000004, 0.1]",,,
2,6,"[79.0, 80.0, 0.9996708400000005, 0.1]",,,
2,7,"[59.0, 100.0, 0.9997048000000004, 0.1]",,,
2,1,"[34.0, 37.0, 0.9996790000000005, 0.1]",,,
2,8,"[71.0, 16.0, 0.9997099200000004, 0.1]",,,
2,12,"[39.0, 63.0, 0.9996497200000005, 0.1]",,,
2,1,"[36.0, 35.0, 0.9996785200000006, 0.1]",,,
2,2,"[5.0, 82.0, 0.9997412800000002, 0.1]",,,
2,1,"[44.0, 45.0, 0.9996373200000007, 0.1]",,,
2,11,"[92.0, 41.0, 0.9996822800000005, 0.1]",,,
2,8,"[57.0, 16.0, 0.9996932000000005, 0.1]",,,
2,2,"[14.0, 81.0, 0.9997368000000003, 0.1]",,,
2,2,"[11.0, 85.0, 0.9997374000000002, 0.1]",,,
2,1,"[37.0, 31.0, 0.9996876800000005, 0.1]",,,
2,10,"[58.0, 90.0, 0.9996940800000005, 0.1]",,,
2,0,"[17.0, 19.0, 0.9997641600000001, 0.1]",,,
2,0,"[11.0, 14.0, 0.9997690000000001, 0.1]",,,
2,0,"[0.0, 38.0, 0.9997455200000002, 0.1]",,,
2,8,"[56.0, 35.0, 0.9996492000000006, 0.1]",,,
2,1,"[35.0, 18.0, 0.9997087600000004, 0.1]",,,
2,11,"[72.0, 38.0, 0.9996734400000006, 0.1]",,,
2,1,"[32.0, 58.0, 0.9996768000000005, 0.1]",,,
2,7,"[68.0, 96.0, 0.9997098000000004, 0.1]",,,
2,1,"[36.0, 13.0, 0.9997109200000003, 0.1]",,,
2,7,"[65.0, 90.0, 0.9997070400000004, 0.1]",,,
2,12,"[62.0, 63.0, 0.9996564000000007, 0.1]",,,
2,1,"[45.0, 29.0, 0.9996800000000005, 0.1]",,,
2,12,"[50.0, 66.0, 0.9996595600000006, 0.1]",,,
