87.0,43.0,4.6846997530931665e-06,0.83,cch anno,cch anno,cch recive each,cch anno,cch anno,cch anno,cch anno,cch recive each,cch recive each,cch recive each,cch recive each
37.0,52.0,4.933521516311366e-05,0.33,data cm to ch
38.0,50.0,0.0001178474581476691,0.42,data cm to ch
36.0,66.0,0.0002535020708055776,0.77,ch to bs
57.0,64.0,2.5404301005022878e-06,0.43,data cm to ch
15.0,50.0,0.0038633074124146773,0.72,merge pkt 
24.0,78.0,5.819042742588296e-06,0.71,cch recive each
35.0,40.0,7.608845452950959e-06,0.38,cch recive each,cch recive each,cch recive each
89.0,55.0,4.843625030175949e-06,0.23,cch recive each,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch recive each,cch recive each,cch recive each,cch recive each
21.0,49.0,8.366845454458063e-06,0.53,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch recive each,cch anno,cch anno,cch anno,cch anno,cch anno,cch recive each,cch recive each,cch recive each
59.0,81.0,0.00019195373645912873,0.72,data cm to ch
46.0,74.0,0.03572891615179392,0.44,ch send optimize
98.0,21.0,0.008133949399636084,0.28,ch to bs
98.0,99.0,0.006437235269311898,0.2,ch to bs
40.0,77.0,0.09128959291605042,0.3,ch send optimize
21.0,50.0,0.000188795989771659,0.36,ch to bs
43.0,47.0,5.73827852920553e-07,0.35,cch anno,cch recive each,cch recive each,cch recive each,cch recive each,cch recive each
40.0,37.0,4.38606835019786e-05,0.3,data cm to ch
93.0,4.0,0.001978925218647871,0.21,ch to bs
32.0,29.0,0.0021928209264675913,0.83,merge pkt 
40.0,75.0,0.27921961027851183,0.17,ch send optimize
47.0,43.0,0.00048314860249645684,0.2,merge pkt 
94.0,100.0,0.0023384919536120533,0.2,ch to bs
37.0,39.0,7.844521490587788e-06,0.59,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch anno,cch recive each
100.0,95.0,0.005582753412287868,0.43,ch to bs
66.0,56.0,0.01416386933148098,0.48,ch recive out of energy 
49.0,55.0,7.480198983696718e-05,0.55,data cm to ch
20.0,51.0,8.096215180380863e-05,0.28,ch to bs
38.0,47.0,0.0019574549264929175,0.38,merge pkt 
29.0,51.0,0.028136853053168348,0.12,ch send optimize
40.0,63.0,0.0023789112961618997,0.93,merge pkt 
70.0,43.0,0.00011358434912021368,0.42,data cm to ch
54.0,34.0,0.1341105503491152,0.45,ch recive out of energy 
