A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,L1
5.9000000000000004e-05,8e-05,9.144653167389282e-05,0.0035500000000000084,0.001309434,0.0012000000000000025,6.1448e-05,0.001420000000000003,0.026188679999999985,0.023999999999999966,6.249999999999999e-07,0.027972332712000003
7.08e-05,0.00011,0.00010973583800867139,0.004389999999999989,0.0013009299999999998,0.0011900000000000025,7.863399999999999e-05,0.002170000000000005,0.026018600000000003,0.023799999999999967,6.25e-07,0.040186471939999996
5.9000000000000004e-05,0.00019,9.144653167389282e-05,0.0035800000000000085,0.001298406000000001,0.0012000000000000025,5.994400000000001e-05,0.0013500000000000029,0.02596812,0.023999999999999966,6.25e-07,0.053399536123999995
7.08e-05,4e-05,0.00010973583800867139,0.004499999999999985,0.0012877419999999995,0.0011900000000000025,7.3292e-05,0.001750000000000004,0.025754839999999998,0.023799999999999967,6.25e-07,0.04584537448800001
7.08e-05,0.00016,0.00010973583800867139,0.00437999999999999,0.0013241260000000006,0.0011900000000000025,7.9448e-05,0.0021200000000000047,0.026482519999999992,0.023799999999999967,6.249999999999999e-07,0.053072287584000004
8.26e-05,0.0002800000000000001,0.00012802514434344996,0.004959999999999966,0.00125724,0.0011800000000000024,8.0294e-05,0.0014600000000000032,0.0251448,0.023599999999999968,6.25e-07,0.071326194
9.44e-05,0.00015000000000000001,0.00014631445067822852,0.005829999999999931,0.001247364,0.0011700000000000024,9.301400000000001e-05,0.0017200000000000039,0.024947280000000006,0.02339999999999997,6.249999999999999e-07,0.08226008932800001
5.9000000000000004e-05,0.0002,9.144653167389282e-05,0.003980000000000006,0.0013872499999999996,0.0012000000000000025,6.9946e-05,0.0025200000000000057,0.027744999999999995,0.023999999999999966,6.249999999999999e-07,0.051876117084
8.26e-05,0.00026000000000000003,0.00012802514434344996,0.005009999999999964,0.0012984699999999997,0.0011800000000000024,8.762200000000001e-05,0.0021300000000000047,0.0259694,0.023599999999999968,6.249999999999999e-07,0.04116347388000001
7.08e-05,0.0001,0.00010973583800867139,0.004179999999999998,0.00129725,0.0011900000000000025,7.458600000000001e-05,0.001790000000000004,0.025945000000000003,0.023799999999999967,6.249999999999999e-07,0.062007231992000006
8.26e-05,0.0002,0.00012802514434344996,0.004839999999999971,0.0012695260000000006,0.0011800000000000024,8.421600000000001e-05,0.001740000000000004,0.02539051999999999,0.023599999999999968,6.25e-07,0.06622106664800001
4.72e-05,6e-05,7.315722533911426e-05,0.0032400000000000076,0.0014297659999999996,0.0012100000000000025,6.0642e-05,0.0024700000000000056,0.028595319999999997,0.024199999999999965,6.249999999999999e-07,0.021783403219999997
7.08e-05,0.00011,0.00010973583800867139,0.004319999999999992,0.001289982,0.0011900000000000025,7.0812e-05,0.001410000000000003,0.025799640000000023,0.023799999999999967,6.25e-07,0.06730339756800001
9.44e-05,6e-05,0.00014631445067822852,0.005799999999999932,0.00124211,0.0011700000000000024,9.140800000000002e-05,0.0015400000000000034,0.024842200000000002,0.02339999999999997,6.25e-07,0.06766343546399999
7.08e-05,0.00014000000000000001,0.00010973583800867139,0.00413,0.0012931660000000003,0.0011900000000000025,7.376200000000002e-05,0.0016600000000000037,0.02586332000000001,0.023799999999999967,6.25e-07,0.07506706251600001
8.26e-05,0.00015000000000000001,0.00012802514434344996,0.005339999999999951,0.0012619320000000005,0.0011800000000000024,8.292799999999999e-05,0.0018600000000000042,0.025238639999999996,0.023599999999999968,6.25e-07,0.051409679720000004
7.08e-05,0.00013000000000000002,0.00010973583800867139,0.003820000000000009,0.0013252080000000002,0.0011900000000000025,7.5826e-05,0.001760000000000004,0.026504159999999995,0.023799999999999967,6.25e-07,0.058734811724000004
5.9000000000000004e-05,8e-05,9.144653167389282e-05,0.003810000000000009,0.0013127839999999996,0.0012000000000000025,6.1912e-05,0.0016300000000000036,0.026255680000000003,0.023999999999999966,6.25e-07,0.03191015408
7.08e-05,0.00019,0.00010973583800867139,0.004219999999999996,0.00127644,0.0011900000000000025,6.957000000000001e-05,0.0014400000000000031,0.0255288,0.023799999999999967,6.249999999999999e-07,0.066662259096
8.26e-05,0.00015000000000000001,0.00012802514434344996,0.005039999999999963,0.0012584079999999995,0.0011800000000000024,8.155e-05,0.0015300000000000034,0.02516816,0.023599999999999968,6.249999999999999e-07,0.06389186694399998
7.08e-05,0.00013000000000000002,0.00010973583800867139,0.004419999999999988,0.001277552,0.0011900000000000025,6.9966e-05,0.0015800000000000035,0.025551040000000007,0.023799999999999967,6.249999999999999e-07,0.04812530232000001
5.9000000000000004e-05,0.00021,9.144653167389282e-05,0.00412,0.001333728,0.0012000000000000025,6.5208e-05,0.0020000000000000044,0.02667456,0.023999999999999966,6.250000000000002e-07,0.047510926904
8.26e-05,0.00012,0.00012802514434344996,0.00461999999999998,0.00126567,0.0011800000000000024,8.3652e-05,0.001760000000000004,0.025313400000000007,0.023599999999999968,6.25e-07,0.06629614679599999
7.08e-05,0.00018,0.00010973583800867139,0.004169999999999998,0.0012834720000000001,0.0011900000000000025,7.1946e-05,0.0015100000000000033,0.025669440000000012,0.023799999999999967,6.249999999999999e-07,0.05166236208
5.9000000000000004e-05,7.000000000000001e-05,9.144653167389282e-05,0.003800000000000009,0.001326464,0.0012000000000000025,6.639e-05,0.0020000000000000044,0.02652928,0.023999999999999966,6.249999999999999e-07,0.042109540368
5.9000000000000004e-05,0.00013000000000000002,9.144653167389282e-05,0.003750000000000009,0.0013163520000000002,0.0012000000000000025,6.502999999999999e-05,0.0018600000000000042,0.026327040000000013,0.023999999999999966,6.25e-07,0.032647945628
8.26e-05,0.00030000000000000014,0.00012802514434344996,0.00460999999999998,0.0012750379999999996,0.0011800000000000024,8.4388e-05,0.001780000000000004,0.02550075999999999,0.023599999999999968,6.249999999999999e-07,0.063326595796
5.9000000000000004e-05,0.0002,9.144653167389282e-05,0.0032100000000000076,0.0013171920000000004,0.0012000000000000025,6.257800000000001e-05,0.001410000000000003,0.026343840000000007,0.023999999999999966,6.249999999999999e-07,0.05983284342000001
7.08e-05,9e-05,0.00010973583800867139,0.00437999999999999,0.0012976340000000004,0.0011900000000000025,7.186200000000001e-05,0.0016000000000000035,0.025952680000000006,0.023799999999999967,6.25e-07,0.082073231192
7.08e-05,0.00021,0.00010973583800867139,0.004709999999999976,0.0012815960000000003,0.0011900000000000025,7.297400000000001e-05,0.0019100000000000044,0.025631919999999985,0.023799999999999967,6.25e-07,0.05584523823200001
7.08e-05,0.00025,0.00010973583800867139,0.004719999999999976,0.0012904599999999998,0.0011900000000000025,7.290600000000001e-05,0.001780000000000004,0.025809200000000008,0.023799999999999967,6.249999999999999e-07,0.059768343756000014
7.08e-05,0.00025,0.00010973583800867139,0.004769999999999974,0.0012968279999999994,0.0011900000000000025,7.2796e-05,0.001750000000000004,0.025936560000000004,0.023799999999999967,6.249999999999999e-07,0.05158264155600001
9.44e-05,0.0002800000000000001,0.00014631445067822852,0.005729999999999935,0.0012336080000000008,0.0011700000000000024,9.100800000000001e-05,0.0015400000000000034,0.024672159999999985,0.02339999999999997,6.25e-07,0.07228020169600001
