31,9,"[14, 19, 6, 25, 11, 16, 8, 8, 9]"
32,10,"[10, 2, 26, 9, 11, 10, 22, 14, 3, 8]"
33,11,"[9, 19, 18, 4, 5, 17, 20, 8, 5, 6, 3]"
34,10,"[18, 18, 18, 13, 17, 5, 5, 12, 7, 2]"
35,8,"[19, 18, 14, 21, 6, 18, 14, 7]"
36,9,"[9, 24, 15, 23, 11, 19, 7, 4, 4]"
37,9,"[13, 9, 27, 6, 11, 19, 7, 9, 15]"
38,8,"[11, 28, 15, 14, 18, 17, 10, 4]"
39,8,"[10, 17, 19, 16, 18, 11, 20, 6]"
40,9,"[15, 25, 24, 5, 10, 15, 9, 10, 3]"
41,10,"[13, 13, 15, 17, 15, 19, 5, 9, 6, 3]"
42,8,"[11, 16, 23, 27, 16, 6, 12, 5]"
43,9,"[24, 10, 20, 14, 7, 16, 10, 8, 7]"
44,9,"[11, 8, 19, 9, 21, 16, 12, 16, 4]"
45,9,"[28, 10, 23, 10, 7, 11, 17, 4, 6]"
46,9,"[13, 18, 18, 18, 11, 14, 5, 9, 10]"
47,11,"[10, 24, 4, 16, 18, 16, 4, 12, 5, 3, 2]"
48,9,"[20, 10, 17, 16, 22, 16, 5, 3, 7]"
1,11,"[4, 4, 7, 10, 6, 7, 10, 13, 17, 23, 13]"
2,10,"[5, 10, 7, 13, 16, 19, 6, 14, 6, 18]"
3,8,"[6, 12, 22, 7, 28, 11, 17, 14]"
4,9,"[5, 21, 7, 12, 9, 11, 16, 11, 24]"
5,10,"[10, 14, 12, 13, 8, 23, 8, 14, 8, 5]"
6,9,"[5, 18, 10, 19, 15, 10, 18, 6, 15]"
7,7,"[11, 19, 21, 16, 21, 16, 14]"
8,7,"[25, 15, 16, 17, 12, 22, 10]"
9,7,"[22, 11, 18, 10, 31, 20, 6]"
10,8,"[17, 11, 11, 15, 18, 19, 22, 4]"
11,8,"[18, 18, 16, 15, 18, 20, 4, 7]"
12,10,"[10, 17, 19, 12, 20, 3, 9, 7, 12, 5]"
13,8,"[13, 26, 15, 22, 11, 7, 9, 14]"
14,7,"[16, 26, 19, 36, 7, 7, 7]"
15,8,"[16, 24, 24, 22, 7, 6, 5, 13]"
16,9,"[19, 23, 16, 11, 13, 8, 9, 5, 12]"
17,9,"[21, 10, 28, 9, 7, 8, 7, 8, 18]"
18,9,"[11, 20, 23, 14, 4, 19, 14, 7, 4]"
19,8,"[18, 23, 25, 6, 11, 9, 19, 6]"
20,8,"[23, 26, 10, 12, 14, 15, 6, 11]"
21,7,"[31, 20, 13, 18, 14, 13, 8]"
22,10,"[20, 11, 22, 15, 4, 14, 5, 6, 12, 6]"
23,10,"[13, 10, 8, 13, 5, 15, 14, 16, 17, 4]"
24,8,"[14, 27, 14, 5, 12, 22, 18, 5]"
25,9,"[24, 9, 18, 21, 14, 18, 0, 7, 5]"
26,8,"[9, 15, 23, 14, 19, 13, 18, 6]"
27,10,"[11, 16, 10, 3, 8, 18, 19, 18, 7, 5]"
28,9,"[10, 22, 12, 9, 25, 4, 17, 11, 6]"
29,9,"[16, 13, 16, 7, 17, 22, 6, 14, 5]"
30,10,"[9, 19, 17, 8, 15, 12, 5, 15, 9, 6]"
31,8,"[11, 21, 13, 24, 11, 12, 6, 19]"
32,9,"[8, 20, 15, 21, 20, 5, 16, 6, 5]"
33,8,"[24, 4, 9, 26, 22, 12, 16, 4]"
34,9,"[19, 8, 27, 4, 12, 20, 12, 6, 8]"
35,9,"[9, 23, 29, 12, 8, 6, 8, 15, 6]"
36,9,"[10, 20, 6, 10, 20, 18, 10, 16, 6]"
37,10,"[7, 17, 7, 18, 4, 23, 9, 15, 5, 10]"
38,8,"[17, 22, 13, 13, 20, 16, 11, 5]"
39,10,"[11, 17, 25, 8, 6, 4, 14, 15, 5, 10]"
40,9,"[6, 10, 18, 12, 19, 20, 7, 15, 9]"
41,9,"[17, 13, 6, 10, 15, 24, 17, 9, 5]"
42,9,"[11, 26, 22, 8, 5, 8, 9, 13, 14]"
43,10,"[11, 22, 11, 24, 6, 5, 11, 14, 5, 6]"
44,10,"[9, 10, 13, 18, 18, 13, 0, 18, 5, 11]"
45,9,"[7, 13, 10, 17, 20, 10, 18, 14, 7]"
46,10,"[15, 15, 6, 4, 10, 12, 25, 18, 5, 5]"
47,10,"[8, 26, 10, 18, 4, 6, 16, 3, 18, 6]"
48,12,"[14, 10, 18, 13, 13, 5, 4, 14, 3, 0, 14, 5]"
49,11,"[9, 8, 12, 15, 9, 11, 5, 18, 16, 5, 6]"
50,9,"[9, 10, 13, 23, 22, 13, 12, 10, 4]"
51,8,"[7, 19, 18, 11, 20, 13, 19, 10]"
52,8,"[11, 6, 13, 20, 17, 19, 15, 16]"
53,9,"[7, 29, 14, 8, 12, 16, 13, 12, 5]"
54,8,"[11, 14, 29, 16, 17, 16, 9, 5]"
55,9,"[21, 13, 17, 19, 17, 4, 7, 13, 5]"
1,11,"[2, 4, 11, 11, 9, 10, 12, 11, 14, 12, 18]"
2,10,"[5, 7, 5, 10, 20, 18, 11, 15, 9, 15]"
